0,311.109375,0,639,0,0
0,311.109375,1,904,0,0
0,311.109375,2,33,16384,0
0,311.109375,3,884,0,0
1,312,0,53,16384,0
1,312,1,53,16384,0
1,312,2,3,16384,0
1,312,3,53,16384,0
2,312,0,825,0,0
2,312,1,3,16384,0
2,312,2,828,0,0
2,312,3,835,0,0
3,312,0,852,0,0
3,312,1,2,16384,0
3,312,2,1213,0,0
3,312,3,1191,0,0
4,312,0,1172,0,0
4,312,1,1155,0,0
4,312,2,1138,0,0
4,312,3,1121,0,0
5,312,0,1105,0,0
5,312,1,1088,0,0
5,312,2,1078,0,0
5,312,3,1072,0,0
6,312,0,1076,0,0
6,312,1,1093,0,0
6,312,2,1855,0,0
6,312,3,1868,0,0
7,311.828125,0,1872,0,0
7,311.828125,1,1876,0,0
7,311.828125,2,2074,0,0
7,311.828125,3,1822,0,0
8,311.828125,0,2289,0,0
8,311.828125,1,2299,0,0
8,311.828125,2,2309,0,0
8,311.828125,3,2323,0,0
9,311.828125,0,2334,0,0
9,311.828125,1,2343,0,0
9,311.828125,2,2358,0,0
9,311.828125,3,2371,0,0
10,311.828125,0,2385,0,0
10,311.828125,1,53,16384,0
10,311.828125,2,53,16384,0
10,311.828125,3,2,16384,0
11,311.828125,0,53,16384,0
11,311.828125,1,53,16384,0
11,311.828125,2,3,16384,0
11,311.828125,3,2021,0,0
12,311.828125,0,1978,0,0
12,311.828125,1,1997,0,0
12,311.828125,2,33,16384,0
12,311.828125,3,2039,0,0
13,312.15625,0,2269,0,0
13,312.15625,1,2291,0,0
13,312.15625,2,2229,0,0
13,312.15625,3,2166,0,0
14,312.15625,0,2113,0,0
14,312.15625,1,2064,0,0
14,312.15625,2,2004,0,0
14,312.15625,3,1956,0,0
15,312.15625,0,1892,0,0
15,312.15625,1,1838,0,0
15,312.15625,2,1809,0,0
15,312.15625,3,1777,0,0
16,312.15625,0,1746,0,0
16,312.15625,1,1725,0,0
16,312.15625,2,1718,0,0
16,312.15625,3,1718,0,0
17,312.15625,0,1593,0,0
17,312.15625,1,1552,0,0
17,312.15625,2,1523,0,0
17,312.15625,3,1497,0,0
18,312.15625,0,1472,0,0
18,312.15625,1,1452,0,0
18,312.15625,2,1431,0,0
18,312.15625,3,1412,0,0
19,312.015625,0,1396,0,0
19,312.015625,1,1384,0,0
